model,wiki_ppl
gemma_2b_baseline,13.851106643676758
gemma_2b_fplut,13.661527633666992
gemma_2b_instruct_baseline,42.268226623535156
gemma_2b_instruct_fplut,42.129615783691406
gemma_2b_instruct_nnlut,42.67803955078125
gemma_2b_nnlut,13.977602005004883
llama3.2_1b_baseline,9.75087833404541
llama3.2_1b_fplut,9.772082328796387
llama3.2_1b_nnlut,11.961404800415039
llama3.2_3b_baseline,7.813624382019043
llama3.2_3b_fplut,7.8216705322265625
llama3.2_3b_nnlut,8.943743705749512
llama3_8b_baseline,6.135672092437744
llama3_8b_fplut,6.15049409866333
llama3_8b_nnlut,9.998486518859863
qwen2.5_0.5b_baseline,14.242506980895996
qwen2.5_0.5b_fplut,14.225050926208496
qwen2.5_0.5b_nnlut,15.024497032165527
qwen2.5_1.5b_baseline,9.64944839477539
qwen2.5_1.5b_fplut,9.65169620513916
qwen2.5_1.5b_nnlut,9.957290649414062
qwen2.5_3b_baseline,8.557062149047852
qwen2.5_3b_fplut,8.566649436950684
qwen2.5_3b_nnlut,8.839210510253906
qwen2.5_7b_baseline,7.457342624664307
qwen2.5_7b_fplut,7.464040279388428
qwen2.5_7b_nnlut,7.7160868644714355
qwen3_8b_baseline,9.715299606323242
qwen3_8b_fplut,41690.83984375
qwen3_8b_nnlut,36930.47265625
smollm_1.7b_baseline,13.440503120422363
smollm_1.7b_fplut,13.441814422607422
smollm_1.7b_nnlut,14.054088592529297
smollm_135m_baseline,20.940120697021484
smollm_135m_fplut,20.92938995361328
smollm_135m_nnlut,22.5877628326416
smollm_360m_baseline,12.741174697875977
smollm_360m_fplut,12.780166625976562
smollm_360m_nnlut,13.457263946533203
smollm_3b_baseline,9.109471321105957
smollm_3b_fplut,12.078327178955078
smollm_3b_nnlut,18.78162384033203
tinyllama_1.1b_baseline,7.773351669311523
tinyllama_1.1b_fplut,7.785369873046875
tinyllama_1.1b_nnlut,81.34382629394531
