model,wiki_ppl
gemma_2b_fplut,13.287503242492676
gemma_2b_instruct_fplut,42.37995147705078
gemma_2b_instruct_nnlut,42.82371139526367
gemma_2b_nnlut,14.32111930847168
llama3.2_1b_fplut,10.108598709106445
llama3.2_1b_nnlut,9.968987464904785
llama3.2_3b_fplut,8.057045936584473
llama3.2_3b_nnlut,7.8747663497924805
qwen2.5_0.5b_fplut,14.396024703979492
qwen2.5_0.5b_nnlut,14.563380241394043
qwen2.5_1.5b_fplut,10.249909400939941
qwen2.5_1.5b_nnlut,1749778.875
qwen2.5_3b_fplut,8.7686185836792
qwen2.5_3b_nnlut,162023760.0
smollm_1.7b_fplut,13.54042911529541
smollm_1.7b_nnlut,13.459901809692383
smollm_135m_fplut,21.041685104370117
smollm_135m_nnlut,28.38202476501465
smollm_360m_fplut,13.021703720092773
smollm_360m_nnlut,275.5361022949219
smollm_3b_fplut,12.051575660705566
smollm_3b_nnlut,255907.390625
tinyllama_1.1b_fplut,7.931031703948975
tinyllama_1.1b_nnlut,7.7911858558654785
