model,wiki_ppl
gemma_2b_baseline,13.849008560180664
gemma_2b_instruct_baseline,42.248653411865234
gemma_2b_instruct_nnlut,42.695777893066406
gemma_2b_nnlut,13.955306053161621
llama3.2_1b_baseline,9.74885368347168
llama3.2_1b_nnlut,11.9690580368042
llama3.2_3b_baseline,7.816515922546387
llama3.2_3b_nnlut,8.947540283203125
qwen2.5_0.5b_baseline,14.283994674682617
qwen2.5_0.5b_nnlut,15.039348602294922
qwen2.5_1.5b_baseline,10.048430442810059
qwen2.5_1.5b_nnlut,20331.947265625
qwen2.5_3b_baseline,8.564119338989258
qwen2.5_3b_nnlut,3691617.75
smollm_1.7b_baseline,13.440022468566895
smollm_1.7b_nnlut,14.051602363586426
smollm_135m_baseline,20.950801849365234
smollm_135m_nnlut,22.616182327270508
smollm_360m_baseline,12.750981330871582
smollm_360m_nnlut,13.47767448425293
smollm_3b_baseline,9.125782012939453
smollm_3b_nnlut,255907.390625
tinyllama_1.1b_baseline,7.774702548980713
tinyllama_1.1b_nnlut,80.91901397705078
